Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,
FRESH FRI 1LTR,3058,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRESH FRI 500ML,3060,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRESH FRI 250ML,3062,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ELIANTO 3LTR,3064,code128,,,,,,4305,4488,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PHILIPS BULB 100W,3100,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PHILIPS BULB  60W,3101,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
DRAGON MHS 10,3106,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
DRAGON 2U,3108,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
DRAGON 3U,3111,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KEN SALT 200G,3200,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KEN SALT 500G,3202,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KEN SALT 1KG,3204,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KEN SALT 2KG,3206,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
GLUCOSE,3300,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ENERGADE GLUCOSE 50G,3302,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
LUCOZADE  250ML,3304,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
LUCOZADE BOTTLED  600ML,3306,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
LUCOZADE BOTTLED 300ML,3308,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RHINO KUBWA,3400,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RHINO NDOGO,3403,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
AIR SCENT 200ML,3500,code128,,,,,,144,160,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BELLA JUMBO TISSUE,3501,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BELLA TISSUE,3505,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
DAWN JUMBO,3507,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
HANAN TISSUE,3510,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
LUCAO,3513,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
NICE EFFECT TISSUE,3519,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PEKEE,3522,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
TOILEX,3525,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
TULIP,3528,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ARIMIS 50G,3601,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BABY CARE  55G,3605,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BABY CARE 100G,3607,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FAIR AND LOVELY CREAM 9G,3609,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
GLYCERINE  30ML,3611,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
GLYCERINE  50ML,3613,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
JOHNSON B/JELLY PURE 100ML,3614,code128,,,,,,116,125,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
JOHNSON B/JELLY SCENTED 100ML,3615,code128,,,,,,116,125,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
JOHNSON B/OIL 50ML,3616,code128,,,,,,166,180,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
JOHNSON B/POWDER 50G,3617,code128,,,,,,131,145,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
JOHNSON B/SOAP LOTION 100G,3618,code128,,,,,,63,70,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
JOHNSON B/SOAP REGULAR 100G,3619,code128,,,,,,63,70,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VALON BLUE 25G,3621,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VALON BLUE  50G,3623,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VALON BLUE  100G,3625,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VALON BLUE 200G,3627,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VALON GREEN 25G,3629,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VALON GREEN 50G,3631,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VASELINE 25ML,3633,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VASELINE 50ML,3635,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VASELINE 100ML,3636,code128,,,,,,80,95,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VASELINE 250ML PC,3637,code128,,,,,,168,180,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
VENUS BODY LOTION 100ML,3639,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SAFARICOM 100SH,3701,code128,,,,,,94,100,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SAFARICOM 50SH,3703,code128,,,,,,47,50,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SAFARICOM 20SH,3704,code128,,,,,,19,20,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
AIRTEL 100SH CARD,3706,code128,,,,,,94,100,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
AIRTEL 50SH,3709,code128,,,,,,47,50,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
AIRTEL 20SH,3711,code128,,,,,,19,20,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
AIRTEL10SH,3713,code128,,,,,,9,10,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KIWI 15ML,3801,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KIWI 25ML,3803,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KIWI 40ML,3805,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KIWI DACTAN 15ML,3807,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KIWI  100ML,3809,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ALWAYS,3901,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ALWAYS MAXI,3903,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ALWAYS TWIN PACK,3905,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BABY JOY DIAPERS,3907,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BOUNCY DIAPERS,3912,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
HAPPY KID H/C,3915,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
HAPPY KID L/C,3917,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PAMPERS H/C,3919,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
